identificador,idioma,texto
TXT00770,pt,Gostaria de nadar em breve.
TXT00845,pt,Trabalhar.
TXT00893,it,L'esame di matematica è stato molto difficile.
TXT00771,pt,Vou dançar amanhã.
TXT00888,it,Sto imparando una lingua nuova.
TXT00758,pt,Não quero limpar mais.
TXT00807,fr,Danser.
TXT00837,pt,Dirigir!
TXT00818,en,I would like to swim soon.
TXT00838,pt,Caminhar.
TXT00851,it,Dove posso guidare?
TXT00847,it,Dove posso scrivere?
TXT00802,fr,Nettoyer.
TXT00863,fr,Lire.
TXT00896,es,Mañana iremos a la playa si hace buen tiempo.
TXT00755,pt,Não quero fechar mais.
TXT00741,es,Nadar.
TXT00754,pt,Vou fechar amanhã.
TXT00889,fr,J'apprends une nouvelle langue.
TXT00765,pt,PRECISO NADAR HOJE.
TXT00768,pt,Cozinhar.
TXT00763,pt,Fechar.
TXT00736,es,Me gustaría cerrar pronto.
TXT00779,it,Dove posso pulire?
TXT00815,en,Can I sing here?
TXT00860,fr,Puis-je envoyer ici?
TXT00804,fr,Nager.
TXT00799,fr,Nager.
TXT00798,fr,Je veux fermer maintenant.
TXT00747,es,Tengo que bailar esta semana.
TXT00849,it,Voglio leggere adesso.
TXT00864,fr,Je veux lire maintenant.
TXT00852,it,Mi piacerebbe viaggiare presto.
TXT00840,pt,Vou enviar amanhã.
TXT00773,it,Dove posso nuotare?
TXT00830,es,¿Dónde puedo cancelar?
TXT00871,en,Walk.
TXT00764,pt,Onde posso cozinhar?
TXT00854,it,NON VOGLIO COMPRARE PIÙ.
TXT00894,fr,L'examen de mathématiques était très difficile.
TXT00878,it,Sta piovendo da stamattina.
TXT00843,pt,Escrever.
TXT00793,fr,Je ne veux plus ouvrir.
TXT00744,es,Quiero abrir ahora.
TXT00762,pt,Posso abrir aqui?
TXT00891,es,EL EXAMEN DE MATEMÁTICAS FUE MUY DIFÍCIL.
TXT00806,fr,Chanter.
TXT00821,en,Sing.
TXT00777,it,Mi piacerebbe cucinare presto.
TXT00862,fr,Manger.
TXT00842,pt,Reservar.
TXT00855,it,Inviare.
TXT00814,en,Sing.
TXT00831,es,Llamar.
TXT00782,it,CHIUDERE.
TXT00877,pt,Está chovendo desde esta manhã.
TXT00900,en,Tomorrow we will go to the beach if the weather is nice.
TXT00757,pt,Onde posso cantar?
TXT00880,en,It has been raining since this morning.
TXT00742,es,¿Puedo limpiar aquí?
TXT00861,fr,Puis-je attendre ici?
TXT00856,fr,J'aimerais marcher bientôt.
TXT00839,pt,Escrever.
TXT00868,en,Where can I cancel?
TXT00869,en,I would like to work soon.
TXT00811,en,Rest.
TXT00828,es,No quiero comer más.
TXT00767,pt,Quero abrir agora.
TXT00881,es,"¿Puedes pasarme la sal, por favor?"
TXT00759,pt,Descansar.
TXT00809,en,Open.
TXT00848,it,Lavorare.
TXT00797,fr,Nettoyer.
TXT00898,it,Domani andremo al mare se farà bel tempo.
TXT00899,fr,Demain on ira à la plage s'il fait beau.
TXT00803,fr,Danser.
TXT00752,es,Tengo que descansar esta semana.
TXT00832,es,Enviar.
TXT00895,en,The math exam was very difficult.
TXT00866,en,Call.
TXT00789,it,CANTARE.
TXT00886,es,Estoy aprendiendo un idioma nuevo.
TXT00887,pt,Estou aprendendo um idioma novo.
TXT00846,it,Posso studiare qui?
TXT00795,fr,Puis-je ouvrir ici?
TXT00780,it,Mi piacerebbe nuotare presto.
TXT00772,it,Non voglio nuotare più.
TXT00816,en,Open.
TXT00873,en,Can I wait here?
